"scenario" "age_class" "vectorial_capacity"
"Scenario 1" "12-day-old" 28.1504052846003
"Scenario 1" "12-day-old" 30.4900235998926
"Scenario 1" "12-day-old" 30.4900235998926
"Scenario 1" "12-day-old" 30.4900235998926
"Scenario 1" "12-day-old" 30.4900235998926
"Scenario 1" "12-day-old" 30.4900235998926
"Scenario 1" "12-day-old" 32.856337834566
"Scenario 1" "12-day-old" 32.856337834566
"Scenario 1" "12-day-old" 32.856337834566
"Scenario 1" "12-day-old" 32.856337834566
"Scenario 1" "12-day-old" 32.856337834566
"Scenario 1" "12-day-old" 35.246533092641
"Scenario 1" "12-day-old" 35.246533092641
"Scenario 1" "12-day-old" 35.246533092641
"Scenario 1" "12-day-old" 37.6581717280245
"Scenario 1" "12-day-old" 40.0891331217884
"Scenario 1" "12-day-old" 40.0891331217884
"Scenario 1" "12-day-old" 40.0891331217884
"Scenario 1" "12-day-old" 40.0891331217884
"Scenario 1" "12-day-old" 40.0891331217884
"Scenario 1" "12-day-old" 40.0891331217884
"Scenario 1" "12-day-old" 42.5375644403443
"Scenario 1" "12-day-old" 42.5375644403443
"Scenario 1" "12-day-old" 45.0018401560508
"Scenario 1" "12-day-old" 47.4805285963115
"Scenario 1" "12-day-old" 47.4805285963115
"Scenario 1" "12-day-old" 47.4805285963115
"Scenario 1" "12-day-old" 47.4805285963115
"Scenario 1" "12-day-old" 47.4805285963115
"Scenario 1" "12-day-old" 47.4805285963115
"Scenario 1" "12-day-old" 47.4805285963115
"Scenario 1" "12-day-old" 47.4805285963115
"Scenario 1" "12-day-old" 47.4805285963115
"Scenario 1" "12-day-old" 49.9723641599172
"Scenario 1" "12-day-old" 49.9723641599172
"Scenario 1" "12-day-old" 49.9723641599172
"Scenario 1" "12-day-old" 52.4762241268534
"Scenario 1" "12-day-old" 52.4762241268534
"Scenario 1" "12-day-old" 54.9911092103345
"Scenario 1" "12-day-old" 57.5161271728365
"Scenario 1" "12-day-old" 57.5161271728365
"Scenario 1" "12-day-old" 62.5934469365015
"Scenario 1" "12-day-old" 62.5934469365015
"Scenario 1" "12-day-old" 78.0000082425657
"Scenario 1" "12-day-old" 1.03128502519147e-05
"Scenario 1" "12-day-old" 1.74947907006993
"Scenario 1" "12-day-old" 7.44335507859951
"Scenario 1" "12-day-old" 10.0363735156078
"Scenario 1" "12-day-old" 12.8901731523363
"Scenario 1" "12-day-old" 12.8901731523363
"Scenario 1" "12-day-old" 12.8901731523363
"Scenario 1" "12-day-old" 12.8901731523363
"Scenario 1" "12-day-old" 15.9637557063597
"Scenario 1" "12-day-old" 15.9637557063597
"Scenario 1" "12-day-old" 15.9637557063597
"Scenario 1" "12-day-old" 19.2232433895647
"Scenario 1" "12-day-old" 19.2232433895647
"Scenario 1" "12-day-old" 22.6407774254734
"Scenario 1" "12-day-old" 22.6407774254734
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 29.8623062544827
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 33.6316934284652
"Scenario 1" "12-day-old" 37.4885171768874
"Scenario 1" "12-day-old" 41.4218065489236
"Scenario 1" "12-day-old" 41.4218065489236
"Scenario 1" "12-day-old" 41.4218065489236
"Scenario 1" "12-day-old" 45.4223078468835
"Scenario 1" "12-day-old" 45.4223078468835
"Scenario 1" "12-day-old" 45.4223078468835
"Scenario 1" "12-day-old" 45.4223078468835
"Scenario 1" "12-day-old" 45.4223078468835
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 49.4821713770726
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 53.5947016679798
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 57.7541574665139
"Scenario 1" "12-day-old" 61.9555908096223
"Scenario 1" "12-day-old" 61.9555908096223
"Scenario 1" "12-day-old" 61.9555908096223
"Scenario 1" "12-day-old" 66.194716855914
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
"Scenario 1" "12-day-old" 70.4678080274673
